,Date,Open,High,Low,Close,Volume
0,2021-01-22,3304.31,3321.91,3283.1644,3292.23,2821914
1,2021-01-21,3293.0,3348.55,3289.5675,3306.99,4945051
2,2021-01-20,3181.99,3279.8,3175.0,3263.38,5309835
3,2021-01-19,3107.0,3145.0,3096.0,3120.76,3305142
4,2021-01-15,3123.02,3142.545,3095.17,3104.25,4243995
5,2021-01-14,3167.52,3177.9999,3120.59,3127.47,3070919
6,2021-01-13,3128.44,3189.95,3122.08,3165.89,3321244
7,2021-01-12,3120.0,3142.1418,3086.0,3120.83,3514582
8,2021-01-11,3148.01,3156.3841,3110.0,3114.21,3669095
9,2021-01-08,3180.0,3190.64,3142.2,3182.7,3537744
10,2021-01-07,3157.0,3208.542,3155.0,3162.16,3514545
11,2021-01-06,3146.48,3197.509,3131.16,3138.38,4394815
12,2021-01-05,3166.01,3223.38,3165.06,3218.51,2655548
13,2021-01-04,3270.0,3272.0,3144.02,3186.63,4411449
14,2020-12-31,3275.0,3282.9219,3241.2,3256.93,2957206
15,2020-12-30,3341.0,3342.1,3282.47,3285.85,3209310
16,2020-12-29,3309.94,3350.65,3281.223,3322.0,4872933
17,2020-12-28,3194.0,3304.0,3172.69,3283.96,5686787
18,2020-12-24,3193.9,3202.0,3169.0,3172.69,1451917
19,2020-12-23,3205.0,3210.13,3184.17,3185.27,2093787
20,2020-12-22,3202.8434,3222.0,3180.08,3206.52,2381781
21,2020-12-21,3200.01,3226.9666,3166.0,3206.18,3836846
22,2020-12-18,3243.99,3249.42,3171.6,3201.65,5995713
23,2020-12-17,3250.0,3263.51,3221.0,3236.08,3474347
24,2020-12-16,3176.01,3247.0,3163.68,3240.96,4427616
25,2020-12-15,3181.01,3188.4999,3130.49,3165.12,3323686
26,2020-12-14,3143.0,3190.47,3126.0,3156.97,4155794
27,2020-12-11,3096.66,3118.67,3072.82,3116.42,3064695
28,2020-12-10,3088.99,3142.1,3076.0,3101.49,3030179
29,2020-12-09,3167.89,3174.43,3088.0,3104.2,4096259
30,2020-12-08,3158.9,3184.13,3120.02,3177.29,3279049
31,2020-12-07,3156.48,3180.76,3141.69,3158.0,2745875
32,2020-12-04,3162.58,3198.21,3158.76,3162.58,2913611
33,2020-12-03,3205.46,3228.64,3181.31,3186.73,2892039
34,2020-12-02,3221.65,3232.0,3173.2601,3203.53,3129304
35,2020-12-01,3188.5,3248.95,3157.18,3220.08,4544382
36,2020-11-30,3208.48,3228.39,3125.55,3168.04,4063916
37,2020-11-27,3211.26,3216.19,3190.05,3195.34,2392867
38,2020-11-25,3141.87,3198.0,3140.26,3185.07,3790403
39,2020-11-24,3100.5,3134.25,3086.258,3118.06,3602102
40,2020-11-23,3116.6986,3139.745,3065.46,3098.39,4708887
41,2020-11-20,3117.02,3132.89,3098.0456,3099.4,3380138
42,2020-11-19,3105.31,3125.0,3080.92,3117.02,3010270
